Route Name;Driver Company;Price/km;Avg.Price/km;Type;Neto;Adds;Provision;Final;Km;
Nice Airport - Cannes;<button data-ownerid='3238' data-vehicletype='8' data-driverprice='90' class='selectowner' type='button'>Transfer4u SARL</button>;8;0;0;90.00;0.00;29.00;<button data-ownerid='3238' data-vehicletype='8' data-driverprice='90' data-price='116.10' class='selectprice' type='button'>116.10</button>;29;
Nice Airport - Cannes;<button data-ownerid='3238' data-vehicletype='106' data-driverprice='85' class='selectowner' type='button'>Transfer4u SARL</button>;106;0;0;85.00;0.00;29.00;<button data-ownerid='3238' data-vehicletype='106' data-driverprice='85' data-price='109.65' class='selectprice' type='button'>109.65</button>;29;
Nice Airport - Cannes;TEST DRIVER;3;0;0;0.00;0.00;5.00;0.00;29;
Nice Airport - Cannes;TEST DRIVER;4;0;0;0.00;0.00;5.00;0.00;29;
Nice Airport - Cannes;TEST DRIVER;5;0;0;0.00;0.00;5.00;0.00;29;
Nice Airport - Cannes;TEST DRIVER;6;0;0;0.00;0.00;5.00;0.00;29;
Nice Airport - Cannes;TEST DRIVER;7;0;0;0.00;0.00;5.00;0.00;29;
Nice Airport - Cannes;TEST DRIVER;8;0;0;0.00;0.00;5.00;0.00;29;
Nice Airport - Cannes;TEST DRIVER;102;0;0;0.00;0.00;0.00;0.00;29;
Nice Airport - Cannes;TEST DRIVER;103;0;0;0.00;0.00;0.00;0.00;29;
Nice Airport - Cannes;TEST DRIVER;204;0;0;0.00;0.00;0.00;0.00;29;
Nice Airport - Cannes;TEST DRIVER;202;0;0;0.00;0.00;0.00;0.00;29;
Nice Airport - Cannes;Rivierazur Limousines;4;0;0;0.00;0.00;35.00;0.00;29;
Nice Airport - Cannes;Rivierazur Limousines;7;0;0;0.00;0.00;35.00;0.00;29;
Nice Airport - Cannes;<button data-ownerid='3175' data-vehicletype='4' data-driverprice='70' class='selectowner' type='button'>SACHELARU CLAUDIU</button>;4;0;0;70.00;0.00;80.00;<button data-ownerid='3175' data-vehicletype='4' data-driverprice='70' data-price='126.00' class='selectprice' type='button'>126.00</button>;29;
